perfecture_name,sum
Aichi,864891267544
Akita,164973572860
Aomori,140059116680
Chiba,602616681519
Ehime,233941771514
Fukui,149207449282
Fukuoka,711358589413
Fukushima,242214714145
Gifu,239820919035
Gunma,321233449338
Hiroshima,466928070098
Hokkaido,565350515191
Hyōgo,646015987297
Ibaraki,398240588782
Ishikawa,205310720455
Iwate,9211300
Kagawa,191398249914
Kagoshima,254242783864
Kanagawa,1066278503766
Kochi,107791748108
Kumamoto,331205204743
Kyoto,313202576197
Mie,181726505963
Miyagi,312272887938
Miyazaki,189626497550
Nagano,366681850928
Naoasaki,151601102873
Nara,147476782148
Niigata,297246491131
Oita,95661502823
Okayama,295730685501
Okinawa,94234962896
Osaka,1432839364333
Saga,84062992667
Saitama,813105312253
Shiga,128085226023
Shimane,40802663961
Shizuoka,559972792152
Tochigi,289580206053
Tokushima,127289049069
Tokyo,2843053035941
Tottori,61428166631
Toyama,181359194657
Wakayama,110521060058
Yamagata,144486713066
Yamaguchi,233852881082
Yamanashi,113013805369
,54869000
