perfecture_name,count,percentage
Aichi,332421,4.4422733381
Akita,64341,6.28871128383
Aomori,73571,5.62355486083
Chiba,269141,4.32517187971
Ehime,88600,6.39590200265
Fukui,55622,7.06993415868
Fukuoka,324523,6.36125527192
Fukushima,82866,4.32937886846
Gifu,94101,4.63117579924
Gunma,95731,4.85176991711
Hiroshima,161099,5.6645417178
Hokkaido,282295,5.24542930688
Hyōgo,229031,4.13801763388
Ibaraki,164318,5.63316256287
Ishikawa,78476,6.80029947799
Iwate,9,0.000703348093223
Kagawa,63886,6.54393334583
Kagoshima,112741,6.84034542407
Kanagawa,428646,4.69686553482
Kochi,39244,5.38861640367
Kumamoto,120672,6.75590789231
Kyoto,103516,3.96559392542
Mie,81045,4.46316218441
Miyagi,119260,5.1099040704
Miyazaki,79554,7.20552791537
Nagano,120458,5.73936394251
Naoasaki,65791,4.77720164364
Nara,55511,4.06877878732
Niigata,113602,4.9300774564
Oita,62214,5.33413127241
Okayama,106394,5.53695632375
Okinawa,37376,2.60720469096
Osaka,407693,4.61218880908
Saga,39375,4.72784427111
Saitama,320232,4.40694284235
Shiga,58270,4.12409513375
Shimane,19946,2.87260640136
Shizuoka,191463,5.17424914973
Tochigi,90853,4.60188780071
Tokushima,42082,5.56836872282
Tokyo,736567,5.44988702039
Tottori,30177,5.2624419949
Toyama,64861,6.08264999137
Wakayama,48915,5.07638709436
Yamagata,55925,4.97601635746
Yamaguchi,109171,7.77167695691
Yamanashi,40436,4.84304073395
,29,0.0
